Id,Start,Name,Impact,Currency
88e4e549-524c-4c00-af18-2bdab20b8090,02/04/2021 23:30:00,Overall Household Spending (YoY),MEDIUM,JPY
5f0628b1-bda1-4fa0-94c6-562fc87009ec,02/04/2021 23:50:00,JP Foreign Reserves,LOW,JPY
cd8205e1-2a7d-421f-aadd-b15eb1b8a7dd,02/05/2021 00:30:00,RBA Monetary Policy Statement,HIGH,AUD
8366b0d3-b707-4c02-bea1-05fecc01e5b7,02/05/2021 00:30:00,Retail Sales s.a. (MoM),HIGH,AUD
480f4ec7-cfd2-4a1d-adc4-90be836e2a19,02/05/2021 05:00:00,Coincident Index,LOW,JPY
f5a481cc-9d55-49e8-a12c-cacac9e4968f,02/05/2021 05:00:00,Leading Economic Index,MEDIUM,JPY
c15aecdd-f39a-4ca7-8843-19c838004fe2,02/05/2021 07:00:00,Factory Orders n.s.a. (YoY),LOW,EUR
e44e3fee-f870-44d1-829f-78ea15dc2dea,02/05/2021 07:00:00,Factory Orders s.a. (MoM),MEDIUM,EUR
498ff919-54e6-4318-a8a5-9092980751e3,02/05/2021 07:45:00,"Exports, EUR",LOW,EUR
4fda748f-b213-4f6e-a1a9-126f9aa9ed6b,02/05/2021 07:45:00,Current Account,LOW,EUR
93d1ccac-d311-43a4-b06f-499ad31a2668,02/05/2021 07:45:00,Nonfarm Payrolls (QoQ),LOW,EUR
2f6e92b9-40a9-4e43-933d-d0272c6893cb,02/05/2021 07:45:00,Trade Balance EUR,LOW,EUR
ebd123cc-f508-427d-b419-fea4556f61ba,02/05/2021 07:45:00,"Imports, EUR",LOW,EUR
d8d9c7da-23ad-4e82-9716-b276c3a10dd5,02/05/2021 08:00:00,Foreign Currency Reserves,LOW,CHF
1c5d7e2d-98fe-43a5-ad63-f89627630204,02/05/2021 08:30:00,Halifax House Prices (YoY/3m),LOW,GBP
327aefb7-fad5-4034-9c40-68791554ccd8,02/05/2021 08:30:00,Halifax House Prices (MoM),LOW,GBP
9e996ee6-19b8-4832-ab1b-d5ce95303893,02/05/2021 09:00:00,Retail Sales s.a. (MoM),LOW,EUR
6b371e51-df10-480c-98ff-e50494603685,02/05/2021 09:00:00,Retail Sales n.s.a (YoY),LOW,EUR
5cdb754f-d826-422b-a87c-48fc0406e63f,02/05/2021 12:00:00,"Waitangi Day ",NONE,NZD
3502afc3-5d7d-4ee6-b8d0-4459ffd6fcc0,02/05/2021 13:30:00,Nonfarm Payrolls,HIGH,USD
979c7799-06b9-4f67-a332-d2338369aafa,02/05/2021 13:30:00,Goods and Services Trade Balance,MEDIUM,USD
62764662-f0b9-4ba0-b065-18c34ea7246a,02/05/2021 13:30:00,Average Hourly Earnings (YoY),MEDIUM,USD
4fb2f67a-7571-4fee-ac64-fce372a707b7,02/05/2021 13:30:00,Average Weekly Hours,LOW,USD
4a99ca14-ac83-487c-b6ec-77f4167a5b0d,02/05/2021 13:30:00,Goods Trade Balance,LOW,USD
e979a7bb-3a76-44d9-8a84-706a166bee8e,02/05/2021 13:30:00,Labor Force Participation Rate,MEDIUM,USD
fc948b06-2779-458d-80f4-3eebe66a4d69,02/05/2021 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
581e1e87-2fe0-4dea-8e36-b923557c5945,02/05/2021 13:30:00,U6 Underemployment Rate,MEDIUM,USD
e1d71ff4-294b-443e-90c8-2316b3d6a9b1,02/05/2021 13:30:00,Unemployment Rate,MEDIUM,USD
77da9853-78e6-461d-9d1d-32df7eb628f6,02/05/2021 13:30:00,BoE's Governor Bailey speech,HIGH,GBP
efeed0f6-cfa9-4264-80bf-0105c9961fa2,02/05/2021 13:30:00,Unemployment Rate,HIGH,CAD
113eb85a-4248-4e3a-b391-4616526ddd11,02/05/2021 13:30:00,Imports,LOW,CAD
8596e8c5-6647-4240-a7cb-9290c9e57824,02/05/2021 13:30:00,International Merchandise Trade,LOW,CAD
2a6d6ee1-50c9-4204-ba9d-df143914f37d,02/05/2021 13:30:00,Exports,LOW,CAD
24bd0dd7-0eda-4a1d-9e25-92d1a9946318,02/05/2021 13:30:00,Participation Rate,MEDIUM,CAD
eb753b7f-a01b-4371-b1fe-ea5a89f741f4,02/05/2021 13:30:00,Average Hourly Wages (YoY),MEDIUM,CAD
6259ce3f-20a9-4fc7-9e50-76eef260bfcf,02/05/2021 13:30:00,Net Change in Employment,HIGH,CAD
09f06071-43d9-41a4-84b5-c28a6d519a4a,02/05/2021 15:00:00,Ivey Purchasing Managers Index s.a,MEDIUM,CAD
a55fc7a3-0512-4633-bf0d-0f7cb05bcab4,02/05/2021 15:00:00,Ivey Purchasing Managers Index,MEDIUM,CAD
bc9ca2cc-4b72-4596-886e-5583b1b392ef,02/05/2021 18:00:00,Baker Hughes US Oil Rig Count,LOW,USD
9663ac4b-4a30-4fdc-a23b-8b72e9dadc16,02/05/2021 20:00:00,Consumer Credit Change,LOW,USD
20e0bc58-6a5a-4ad9-bb25-c512a36256e4,02/05/2021 20:30:00,CFTC Gold NC Net Positions,LOW,USD
3153ba3f-a04a-4751-9cb9-404beb7010b1,02/05/2021 20:30:00,CFTC Oil NC Net Positions,LOW,USD
4f10befd-b9d8-435f-bd39-9a8ed8e88b20,02/05/2021 20:30:00,CFTC S&P 500 NC Net Positions,LOW,USD
1c9a19fc-d86b-45f1-b328-18be3368fcc4,02/05/2021 20:30:00,CFTC GBP NC Net Positions,LOW,GBP
81a2a591-a771-490f-84a0-54c710a74ec1,02/05/2021 20:30:00,CFTC JPY NC Net Positions,LOW,JPY
9b9950f0-7d9e-4a28-851f-e8d9168cea4d,02/05/2021 20:30:00,CFTC EUR NC Net Positions,LOW,EUR
151c6177-f257-402a-b33d-9b19a21558fe,02/05/2021 20:30:00,CFTC AUD NC Net Positions,LOW,AUD
eaa2a600-3c57-47fc-9912-3c2e83c7dabf,02/07/2021 08:00:00,Foreign Exchange Reserves (MoM),LOW,CNY
c1234938-cad3-4db5-ae15-a5e6704d7a2a,02/07/2021 23:50:00,Current Account n.s.a.,MEDIUM,JPY
26d13644-3b83-4673-b98b-5ba4c0be20ca,02/07/2021 23:50:00,Bank Lending (YoY),LOW,JPY
ee7e07c7-b05d-4ee1-99a7-841e613e5f98,02/07/2021 23:50:00,Trade Balance - BOP Basis,LOW,JPY
8c365079-dd61-4bef-83e2-d9a92a5f65b9,02/08/2021 05:00:00,Eco Watchers Survey: Outlook,LOW,JPY
760bfdb2-39c2-4c09-b335-2e88b28b1e62,02/08/2021 05:00:00,Eco Watchers Survey: Current,LOW,JPY
bcf04858-015d-45b3-8e40-9c51eea02ed5,02/08/2021 06:45:00,Unemployment Rate s.a (MoM),MEDIUM,CHF
bdd69692-ee8f-4cc5-bec7-b72263572a17,02/08/2021 07:00:00,Industrial Production s.a. (MoM),MEDIUM,EUR
f736983a-731a-4d57-952b-116cc8ea03cd,02/08/2021 07:00:00,Industrial Production n.s.a. w.d.a. (YoY),LOW,EUR
c902cc70-35bc-4245-8feb-b9b8469a25a8,02/08/2021 08:00:00,Industrial Output Cal Adjusted (YoY),LOW,EUR
2f5ee81f-fb5e-44e1-8754-44bc6896836d,02/08/2021 09:30:00,Sentix Investor Confidence,LOW,EUR
ea271bbd-a8c9-42f8-a0dc-8ed56d8503e0,02/08/2021 16:30:00,3-Month Bill Auction,LOW,USD
b3887b9a-e342-4e9a-bc5c-7d123a5310ec,02/08/2021 16:30:00,6-Month Bill Auction,LOW,USD
ce9612fe-6ea3-4ddb-9b70-b0947bdf2ccc,02/08/2021 23:30:00,Labor Cash Earnings (YoY),LOW,JPY
d7ba6df9-4837-42e6-99a7-c173f24d1960,02/08/2021 23:50:00,Money Supply M2+CD (YoY),LOW,JPY
d7a047ba-48b6-49a2-b477-96fd144a794e,02/09/2021 00:01:00,BRC Like-For-Like Retail Sales (YoY),MEDIUM,GBP
a727bfa7-30a2-4621-8fb2-7af05f790375,02/09/2021 00:30:00,National Australia Bank's Business Confidence,LOW,AUD
83ff1ba6-1a7c-4179-a326-09a9d1e94626,02/09/2021 00:30:00,National Australia Bank's Business Conditions,LOW,AUD
a78df9a0-a5eb-4b30-87cf-cbad97e01a38,02/09/2021 02:00:00,RBNZ Inflation Expectations (QoQ),MEDIUM,NZD
63045b1c-fbcc-4e22-a8f6-6600ef6bfa60,02/09/2021 02:00:00,Exports (YoY) CNY,LOW,CNY
35b58677-2f22-47f2-ae00-bcc3ab92da5e,02/09/2021 02:00:00,Imports (YoY) CNY,LOW,CNY
5f23bac3-d591-4f8d-946a-eb4cc978505c,02/09/2021 02:00:00,Trade Balance USD,MEDIUM,CNY
ec972d20-009a-4979-9d6f-d783df2ab04a,02/09/2021 02:00:00,Exports (YoY),MEDIUM,CNY
66b4e6ac-07b0-4ed2-b029-0449d0bcb2ed,02/09/2021 02:00:00,Imports (YoY),MEDIUM,CNY
37e0d6e6-2bd9-4ae2-af6e-8d6497b0c7e1,02/09/2021 02:00:00,Trade Balance CNY,LOW,CNY
df454b3c-ed10-46c9-ba59-432a56673fb4,02/09/2021 07:00:00,Exports (MoM),LOW,EUR
09cbc92d-63e2-4bf5-b57c-9ab841bc2f33,02/09/2021 07:00:00,Trade Balance s.a.,MEDIUM,EUR
